date,commodity,modal_price
2015-04-08,Rice,2288.76
2015-04-09,Rice,2273.54
2015-04-10,Rice,2259.29
2015-04-11,Rice,2188.58
2015-04-12,Rice,2248.4
2015-04-13,Rice,2253.22
2015-04-14,Rice,2225.78
2015-04-15,Rice,2264.38
2015-04-16,Rice,2298.43
2015-04-17,Rice,2387.5
2015-04-18,Rice,2284.94
2015-04-19,Rice,2290.06
2015-04-20,Rice,2270.27
2015-04-21,Rice,2159.75
2015-04-22,Rice,2273.42
2015-04-23,Rice,2278.76
2015-04-24,Rice,2423.08
2015-04-25,Rice,2263.88
2015-04-26,Rice,2293.65
2015-04-27,Rice,2273.62
2015-04-28,Rice,2205.71
2015-04-29,Rice,2344.54
2015-04-30,Rice,2321.22
2015-05-01,Rice,2213.9
2015-05-02,Rice,2112.01
2015-05-03,Rice,2250.88
2015-05-04,Rice,2082.74
2015-05-05,Rice,2202.2
2015-05-06,Rice,2298.55
2015-05-07,Rice,2107.83
2015-05-08,Rice,2133.42
2015-05-09,Rice,2173.51
2015-05-10,Rice,2137.46
2015-05-11,Rice,2074.77
2015-05-12,Rice,2172.06
2015-05-13,Rice,2104.34
2015-05-14,Rice,2196.63
2015-05-15,Rice,2113.19
2015-05-16,Rice,2261.49
2015-05-17,Rice,2121.63
2015-05-18,Rice,2149.44
2015-05-19,Rice,2217.72
2015-05-20,Rice,2095.19
2015-05-21,Rice,2182.83
2015-05-22,Rice,2247.74
2015-05-23,Rice,2073.0
2015-05-24,Rice,2180.67
2015-05-25,Rice,2185.32
2015-05-26,Rice,2216.77
2015-05-27,Rice,2095.78
2015-05-28,Rice,2090.91
2015-05-29,Rice,2201.59
2015-05-30,Rice,2188.23
2015-05-31,Rice,2185.58
2015-06-01,Rice,2041.47
2015-06-02,Rice,1980.02
2015-06-03,Rice,2034.89
2015-06-04,Rice,2038.68
2015-06-05,Rice,1978.37
2015-06-06,Rice,2133.32
2015-06-07,Rice,2049.94
2015-06-08,Rice,1950.17
2015-06-09,Rice,2061.17
2015-06-10,Rice,1963.44
2015-06-11,Rice,2069.28
2015-06-12,Rice,2091.71
2015-06-13,Rice,1973.09
2015-06-14,Rice,2080.27
2015-06-15,Rice,2047.37
2015-06-16,Rice,2072.06
2015-06-17,Rice,2136.68
2015-06-18,Rice,2008.29
2015-06-19,Rice,1977.93
2015-06-20,Rice,1969.92
2015-06-21,Rice,1974.48
2015-06-22,Rice,2018.94
2015-06-23,Rice,2044.17
2015-06-24,Rice,2040.44
2015-06-25,Rice,2073.6
2015-06-26,Rice,2024.89
2015-06-27,Rice,2111.46
2015-06-28,Rice,2008.5
2015-06-29,Rice,2187.73
2015-06-30,Rice,2062.2
2015-07-01,Rice,1823.37
2015-07-02,Rice,1810.68
2015-07-03,Rice,1904.02
2015-07-04,Rice,1861.8
2015-07-05,Rice,1918.18
2015-07-06,Rice,1903.87
2015-07-07,Rice,1871.25
2015-07-08,Rice,1824.95
2015-07-09,Rice,1785.0
2015-07-10,Rice,1849.24
2015-07-11,Rice,1927.55
2015-07-12,Rice,1889.15
2015-07-13,Rice,1801.69
2015-07-14,Rice,1886.97
2015-07-15,Rice,1899.83
2015-07-16,Rice,1823.82
2015-07-17,Rice,1886.21
2015-07-18,Rice,1880.62
2015-07-19,Rice,1808.68
2015-07-20,Rice,1898.86
2015-07-21,Rice,1911.18
2015-07-22,Rice,1942.65
2015-07-23,Rice,1941.04
2015-07-24,Rice,1795.29
2015-07-25,Rice,1821.81
2015-07-26,Rice,1909.12
2015-07-27,Rice,1909.18
2015-07-28,Rice,1909.4
2015-07-29,Rice,2109.79
2015-07-30,Rice,1913.02
2015-07-31,Rice,1947.04
2015-08-01,Rice,1826.47
2015-08-02,Rice,1808.45
2015-08-03,Rice,1750.59
2015-08-04,Rice,1815.18
2015-08-05,Rice,1723.41
2015-08-06,Rice,1755.71
2015-08-07,Rice,1740.93
2015-08-08,Rice,1775.1
2015-08-09,Rice,1909.21
2015-08-10,Rice,1658.43
2015-08-11,Rice,1811.78
2015-08-12,Rice,1673.98
2015-08-13,Rice,1742.56
2015-08-14,Rice,1836.35
2015-08-15,Rice,1775.01
2015-08-16,Rice,1706.62
2015-08-17,Rice,1728.51
2015-08-18,Rice,1812.34
2015-08-19,Rice,1727.88
2015-08-20,Rice,1784.82
2015-08-21,Rice,1774.71
2015-08-22,Rice,1733.01
2015-08-23,Rice,1900.88
2015-08-24,Rice,1810.42
2015-08-25,Rice,1651.01
2015-08-26,Rice,1783.85
2015-08-27,Rice,1733.09
2015-08-28,Rice,1824.08
2015-08-29,Rice,1725.52
2015-08-30,Rice,1766.32
2015-08-31,Rice,1803.64
2015-09-01,Rice,1785.23
2015-09-02,Rice,1661.41
2015-09-03,Rice,1713.49
2015-09-04,Rice,1705.2
2015-09-05,Rice,1694.64
2015-09-06,Rice,1839.9
2015-09-07,Rice,1758.41
2015-09-08,Rice,1658.59
2015-09-09,Rice,1789.46
2015-09-10,Rice,1861.85
2015-09-11,Rice,1796.61
2015-09-12,Rice,1643.63
2015-09-13,Rice,1705.88
2015-09-14,Rice,1811.08
2015-09-15,Rice,1692.75
2015-09-16,Rice,1761.97
2015-09-17,Rice,1781.96
2015-09-18,Rice,1680.0
2015-09-19,Rice,1732.18
2015-09-20,Rice,1541.41
2015-09-21,Rice,1674.56
2015-09-22,Rice,1721.01
2015-09-23,Rice,1661.43
2015-09-24,Rice,1834.38
2015-09-25,Rice,1650.77
2015-09-26,Rice,1710.31
2015-09-27,Rice,1744.69
2015-09-28,Rice,1823.46
2015-09-29,Rice,1650.97
2015-09-30,Rice,1807.05
2015-10-01,Rice,1778.2
2015-10-02,Rice,1718.84
2015-10-03,Rice,1805.59
2015-10-04,Rice,1789.94
2015-10-05,Rice,1742.12
2015-10-06,Rice,1782.46
2015-10-07,Rice,1755.29
2015-10-08,Rice,1785.36
2015-10-09,Rice,1818.41
2015-10-10,Rice,1873.98
2015-10-11,Rice,1704.69
2015-10-12,Rice,1907.08
2015-10-13,Rice,1662.11
2015-10-14,Rice,1770.26
2015-10-15,Rice,1814.81
2015-10-16,Rice,1796.5
2015-10-17,Rice,1742.42
2015-10-18,Rice,1767.43
2015-10-19,Rice,1750.48
2015-10-20,Rice,1744.83
2015-10-21,Rice,1831.31
2015-10-22,Rice,1801.89
2015-10-23,Rice,1739.03
2015-10-24,Rice,1834.72
2015-10-25,Rice,1799.32
2015-10-26,Rice,1829.79
2015-10-27,Rice,1818.93
2015-10-28,Rice,1731.55
2015-10-29,Rice,1747.81
2015-10-30,Rice,1826.4
2015-10-31,Rice,1818.32
2015-11-01,Rice,1890.39
2015-11-02,Rice,1898.82
2015-11-03,Rice,1968.58
2015-11-04,Rice,1856.56
2015-11-05,Rice,1925.02
2015-11-06,Rice,1880.2
2015-11-07,Rice,1879.4
2015-11-08,Rice,1958.53
2015-11-09,Rice,1942.26
2015-11-10,Rice,1941.69
2015-11-11,Rice,1971.34
2015-11-12,Rice,1894.41
2015-11-13,Rice,1934.2
2015-11-14,Rice,1874.81
2015-11-15,Rice,1913.01
2015-11-16,Rice,1885.89
2015-11-17,Rice,1899.66
2015-11-18,Rice,1929.68
2015-11-19,Rice,1845.02
2015-11-20,Rice,2019.79
2015-11-21,Rice,1834.02
2015-11-22,Rice,1821.67
2015-11-23,Rice,1964.14
2015-11-24,Rice,1942.29
2015-11-25,Rice,1932.38
2015-11-26,Rice,1932.77
2015-11-27,Rice,1894.47
2015-11-28,Rice,1841.51
2015-11-29,Rice,1900.03
2015-11-30,Rice,1854.99
2015-12-01,Rice,2104.26
2015-12-02,Rice,2037.07
2015-12-03,Rice,1996.5
2015-12-04,Rice,2026.88
2015-12-05,Rice,2071.08
2015-12-06,Rice,2012.61
2015-12-07,Rice,1997.24
2015-12-08,Rice,2061.33
2015-12-09,Rice,2061.55
2015-12-10,Rice,2016.57
2015-12-11,Rice,2018.86
2015-12-12,Rice,2061.18
2015-12-13,Rice,1960.51
2015-12-14,Rice,1963.09
2015-12-15,Rice,2004.56
2015-12-16,Rice,2035.0
2015-12-17,Rice,2066.6
2015-12-18,Rice,2136.6
2015-12-19,Rice,2099.68
2015-12-20,Rice,2038.76
2015-12-21,Rice,2047.35
2015-12-22,Rice,1988.48
2015-12-23,Rice,2047.66
2015-12-24,Rice,2031.58
2015-12-25,Rice,2068.4
2015-12-26,Rice,1999.54
2015-12-27,Rice,2080.48
2015-12-28,Rice,2141.42
2015-12-29,Rice,2043.06
2015-12-30,Rice,2073.83
2015-12-31,Rice,2091.27
2016-01-01,Rice,2175.93
2016-01-02,Rice,2213.58
2016-01-03,Rice,2201.03
2016-01-04,Rice,2206.27
2016-01-05,Rice,2154.17
2016-01-06,Rice,2202.16
2016-01-07,Rice,2230.7
2016-01-08,Rice,2288.03
2016-01-09,Rice,2258.65
2016-01-10,Rice,2330.42
2016-01-11,Rice,2155.33
2016-01-12,Rice,2253.85
2016-01-13,Rice,2212.64
2016-01-14,Rice,2333.17
2016-01-15,Rice,2153.42
2016-01-16,Rice,2151.67
2016-01-17,Rice,2166.23
2016-01-18,Rice,2074.9
2016-01-19,Rice,2170.92
2016-01-20,Rice,2157.05
2016-01-21,Rice,2211.76
2016-01-22,Rice,2223.38
2016-01-23,Rice,2315.58
2016-01-24,Rice,2260.18
2016-01-25,Rice,2168.67
2016-01-26,Rice,2149.52
2016-01-27,Rice,2233.08
2016-01-28,Rice,2124.48
2016-01-29,Rice,2313.72
2016-01-30,Rice,2274.74
2016-01-31,Rice,2175.96
2016-02-01,Rice,2211.27
2016-02-02,Rice,2395.42
2016-02-03,Rice,2307.46
2016-02-04,Rice,2388.73
2016-02-05,Rice,2218.94
2016-02-06,Rice,2278.78
2016-02-07,Rice,2315.19
2016-02-08,Rice,2317.83
2016-02-09,Rice,2288.15
2016-02-10,Rice,2352.66
2016-02-11,Rice,2251.37
2016-02-12,Rice,2307.02
2016-02-13,Rice,2322.92
2016-02-14,Rice,2346.7
2016-02-15,Rice,2358.67
2016-02-16,Rice,2248.63
2016-02-17,Rice,2224.2
2016-02-18,Rice,2393.04
2016-02-19,Rice,2336.46
2016-02-20,Rice,2271.75
2016-02-21,Rice,2409.86
2016-02-22,Rice,2323.87
2016-02-23,Rice,2387.83
2016-02-24,Rice,2321.26
2016-02-25,Rice,2440.99
2016-02-26,Rice,2422.8
2016-02-27,Rice,2302.68
2016-02-28,Rice,2376.05
2016-02-29,Rice,2356.61
2016-03-01,Rice,2440.34
2016-03-02,Rice,2300.46
2016-03-03,Rice,2399.66
2016-03-04,Rice,2422.14
2016-03-05,Rice,2253.24
2016-03-06,Rice,2287.91
2016-03-07,Rice,2236.69
2016-03-08,Rice,2343.01
2016-03-09,Rice,2402.37
2016-03-10,Rice,2449.59
2016-03-11,Rice,2364.03
2016-03-12,Rice,2457.44
2016-03-13,Rice,2277.06
2016-03-14,Rice,2257.8
2016-03-15,Rice,2356.8
2016-03-16,Rice,2383.32
2016-03-17,Rice,2358.45
2016-03-18,Rice,2236.5
2016-03-19,Rice,2355.34
2016-03-20,Rice,2282.55
2016-03-21,Rice,2401.14
2016-03-22,Rice,2383.09
2016-03-23,Rice,2304.84
2016-03-24,Rice,2330.54
2016-03-25,Rice,2297.95
2016-03-26,Rice,2357.88
2016-03-27,Rice,2419.09
2016-03-28,Rice,2302.77
2016-03-29,Rice,2392.3
2016-03-30,Rice,2330.38
2016-03-31,Rice,2314.76
2016-04-01,Rice,2315.85
2016-04-02,Rice,2260.3
2016-04-03,Rice,2289.33
2016-04-04,Rice,2250.81
2016-04-05,Rice,2440.7
2016-04-06,Rice,2325.07
2016-04-07,Rice,2281.11
2016-04-08,Rice,2336.07
2016-04-09,Rice,2316.63
2016-04-10,Rice,2310.25
2016-04-11,Rice,2360.49
2016-04-12,Rice,2369.23
2016-04-13,Rice,2292.09
2016-04-14,Rice,2289.51
2016-04-15,Rice,2307.69
2016-04-16,Rice,2186.21
2016-04-17,Rice,2233.55
2016-04-18,Rice,2406.61
2016-04-19,Rice,2423.44
2016-04-20,Rice,2309.93
2016-04-21,Rice,2359.61
2016-04-22,Rice,2343.83
2016-04-23,Rice,2510.02
2016-04-24,Rice,2392.6
2016-04-25,Rice,2317.89
2016-04-26,Rice,2268.37
2016-04-27,Rice,2229.45
2016-04-28,Rice,2338.18
2016-04-29,Rice,2280.73
2016-04-30,Rice,2240.91
2016-05-01,Rice,2177.78
2016-05-02,Rice,2151.82
2016-05-03,Rice,2318.08
2016-05-04,Rice,2269.88
2016-05-05,Rice,2216.64
2016-05-06,Rice,2306.06
2016-05-07,Rice,2222.04
2016-05-08,Rice,2165.86
2016-05-09,Rice,2309.06
2016-05-10,Rice,2250.14
2016-05-11,Rice,2155.71
2016-05-12,Rice,2206.66
2016-05-13,Rice,2165.68
2016-05-14,Rice,2135.39
2016-05-15,Rice,2274.06
2016-05-16,Rice,2333.2
2016-05-17,Rice,2134.85
2016-05-18,Rice,2252.68
2016-05-19,Rice,2180.0
2016-05-20,Rice,2189.95
2016-05-21,Rice,2183.77
2016-05-22,Rice,2167.61
2016-05-23,Rice,2222.5
2016-05-24,Rice,2169.87
2016-05-25,Rice,2236.09
2016-05-26,Rice,2216.99
2016-05-27,Rice,2205.8
2016-05-28,Rice,2165.82
2016-05-29,Rice,2185.8
2016-05-30,Rice,2265.87
2016-05-31,Rice,2250.74
2016-06-01,Rice,2012.17
2016-06-02,Rice,2076.92
2016-06-03,Rice,2116.18
2016-06-04,Rice,1971.07
2016-06-05,Rice,2103.97
2016-06-06,Rice,2031.75
2016-06-07,Rice,2105.88
2016-06-08,Rice,2025.99
2016-06-09,Rice,1963.62
2016-06-10,Rice,1974.4
2016-06-11,Rice,2075.08
2016-06-12,Rice,2087.91
2016-06-13,Rice,2018.21
2016-06-14,Rice,2110.92
2016-06-15,Rice,1973.05
2016-06-16,Rice,2068.91
2016-06-17,Rice,2000.35
2016-06-18,Rice,2034.04
2016-06-19,Rice,2076.13
2016-06-20,Rice,2021.8
2016-06-21,Rice,2050.49
2016-06-22,Rice,2134.08
2016-06-23,Rice,2039.22
2016-06-24,Rice,2124.11
2016-06-25,Rice,2006.33
2016-06-26,Rice,2106.03
2016-06-27,Rice,2160.88
2016-06-28,Rice,1926.22
2016-06-29,Rice,2026.84
2016-06-30,Rice,2109.42
2016-07-01,Rice,1912.75
2016-07-02,Rice,1947.34
2016-07-03,Rice,1888.97
2016-07-04,Rice,1930.54
2016-07-05,Rice,1916.14
2016-07-06,Rice,1995.68
2016-07-07,Rice,1941.02
2016-07-08,Rice,1946.15
2016-07-09,Rice,1901.31
2016-07-10,Rice,1896.91
2016-07-11,Rice,1900.35
2016-07-12,Rice,1950.11
2016-07-13,Rice,1901.32
2016-07-14,Rice,1944.1
2016-07-15,Rice,2051.37
2016-07-16,Rice,1979.25
2016-07-17,Rice,1907.56
2016-07-18,Rice,1999.33
2016-07-19,Rice,1902.91
2016-07-20,Rice,1805.25
2016-07-21,Rice,1867.19
2016-07-22,Rice,1815.56
2016-07-23,Rice,1906.85
2016-07-24,Rice,1929.19
2016-07-25,Rice,2028.81
2016-07-26,Rice,1947.97
2016-07-27,Rice,1915.35
2016-07-28,Rice,1978.39
2016-07-29,Rice,1796.1
2016-07-30,Rice,1943.04
2016-07-31,Rice,1975.29
2016-08-01,Rice,1730.66
2016-08-02,Rice,1888.13
2016-08-03,Rice,1839.95
2016-08-04,Rice,1794.86
2016-08-05,Rice,1857.89
2016-08-06,Rice,1956.3
2016-08-07,Rice,1831.1
2016-08-08,Rice,1835.22
2016-08-09,Rice,1792.9
2016-08-10,Rice,1769.61
2016-08-11,Rice,1870.56
2016-08-12,Rice,1769.51
2016-08-13,Rice,1825.31
2016-08-14,Rice,1792.49
2016-08-15,Rice,1850.03
2016-08-16,Rice,1841.44
2016-08-17,Rice,1883.81
2016-08-18,Rice,1791.1
2016-08-19,Rice,1805.64
2016-08-20,Rice,1763.25
2016-08-21,Rice,1795.45
2016-08-22,Rice,1844.89
2016-08-23,Rice,1867.8
2016-08-24,Rice,1767.19
2016-08-25,Rice,1874.83
2016-08-26,Rice,1904.13
2016-08-27,Rice,1847.74
2016-08-28,Rice,1935.68
2016-08-29,Rice,1776.78
2016-08-30,Rice,1748.66
2016-08-31,Rice,1716.76
2016-09-01,Rice,1873.19
2016-09-02,Rice,1822.82
2016-09-03,Rice,1780.36
2016-09-04,Rice,1800.63
2016-09-05,Rice,1716.44
2016-09-06,Rice,1930.85
2016-09-07,Rice,1792.0
2016-09-08,Rice,1790.95
2016-09-09,Rice,1828.07
2016-09-10,Rice,1813.52
2016-09-11,Rice,1798.23
2016-09-12,Rice,1737.5
2016-09-13,Rice,1813.36
2016-09-14,Rice,1898.13
2016-09-15,Rice,1866.07
2016-09-16,Rice,1881.07
2016-09-17,Rice,1754.94
2016-09-18,Rice,1726.38
2016-09-19,Rice,1778.34
2016-09-20,Rice,1789.37
2016-09-21,Rice,1851.82
2016-09-22,Rice,1684.75
2016-09-23,Rice,1878.21
2016-09-24,Rice,1777.09
2016-09-25,Rice,1761.1
2016-09-26,Rice,1726.12
2016-09-27,Rice,1687.69
2016-09-28,Rice,1836.51
2016-09-29,Rice,1791.66
2016-09-30,Rice,1710.0
2016-10-01,Rice,1750.02
2016-10-02,Rice,1807.72
2016-10-03,Rice,1928.14
2016-10-04,Rice,1812.56
2016-10-05,Rice,1738.09
2016-10-06,Rice,1813.67
2016-10-07,Rice,1812.19
2016-10-08,Rice,1666.87
2016-10-09,Rice,1825.56
2016-10-10,Rice,1815.1
2016-10-11,Rice,1870.87
2016-10-12,Rice,1940.17
2016-10-13,Rice,1896.96
2016-10-14,Rice,1813.37
2016-10-15,Rice,1763.25
2016-10-16,Rice,1984.18
2016-10-17,Rice,1833.47
2016-10-18,Rice,1830.89
2016-10-19,Rice,1828.74
2016-10-20,Rice,1842.21
2016-10-21,Rice,1821.8
2016-10-22,Rice,1796.18
2016-10-23,Rice,1797.93
2016-10-24,Rice,1828.91
2016-10-25,Rice,1798.41
2016-10-26,Rice,1788.38
2016-10-27,Rice,1837.67
2016-10-28,Rice,1816.13
2016-10-29,Rice,1921.8
2016-10-30,Rice,1672.64
2016-10-31,Rice,1897.33
2016-11-01,Rice,2016.55
2016-11-02,Rice,1817.51
2016-11-03,Rice,1921.49
2016-11-04,Rice,1919.91
2016-11-05,Rice,1857.88
2016-11-06,Rice,1895.8
2016-11-07,Rice,1875.97
2016-11-08,Rice,2047.88
2016-11-09,Rice,1999.02
2016-11-10,Rice,2019.31
2016-11-11,Rice,1986.45
2016-11-12,Rice,1875.54
2016-11-13,Rice,1911.95
2016-11-14,Rice,1972.92
2016-11-15,Rice,1870.37
2016-11-16,Rice,1986.62
2016-11-17,Rice,1929.55
2016-11-18,Rice,1921.62
2016-11-19,Rice,1986.9
2016-11-20,Rice,1971.04
2016-11-21,Rice,1922.86
2016-11-22,Rice,2014.22
2016-11-23,Rice,1879.93
2016-11-24,Rice,1981.89
2016-11-25,Rice,1980.65
2016-11-26,Rice,1926.63
2016-11-27,Rice,1964.91
2016-11-28,Rice,1870.41
2016-11-29,Rice,2001.06
2016-11-30,Rice,1934.66
2016-12-01,Rice,2064.53
2016-12-02,Rice,2158.97
2016-12-03,Rice,2053.9
2016-12-04,Rice,2011.79
2016-12-05,Rice,2003.04
2016-12-06,Rice,2132.94
2016-12-07,Rice,2019.89
2016-12-08,Rice,2202.14
2016-12-09,Rice,1972.07
2016-12-10,Rice,2198.91
2016-12-11,Rice,2109.92
2016-12-12,Rice,2091.59
2016-12-13,Rice,2064.84
2016-12-14,Rice,2121.62
2016-12-15,Rice,2095.55
2016-12-16,Rice,2164.14
2016-12-17,Rice,2104.94
2016-12-18,Rice,2107.24
2016-12-19,Rice,2076.54
2016-12-20,Rice,2095.08
2016-12-21,Rice,2117.1
2016-12-22,Rice,1996.16
2016-12-23,Rice,2018.01
2016-12-24,Rice,2143.64
2016-12-25,Rice,2109.43
2016-12-26,Rice,2088.28
2016-12-27,Rice,2100.56
2016-12-28,Rice,2120.44
2016-12-29,Rice,2067.34
2016-12-30,Rice,2053.16
2016-12-31,Rice,2111.75
2017-01-01,Rice,2191.43
2017-01-02,Rice,2274.77
2017-01-03,Rice,2148.26
2017-01-04,Rice,2312.3
2017-01-05,Rice,2279.04
2017-01-06,Rice,2266.18
2017-01-07,Rice,2309.92
2017-01-08,Rice,2351.02
2017-01-09,Rice,2312.1
2017-01-10,Rice,2140.92
2017-01-11,Rice,2174.73
2017-01-12,Rice,2214.15
2017-01-13,Rice,2253.35
2017-01-14,Rice,2282.98
2017-01-15,Rice,2208.51
2017-01-16,Rice,2263.4
2017-01-17,Rice,2207.01
2017-01-18,Rice,2215.77
2017-01-19,Rice,2168.2
2017-01-20,Rice,2197.35
2017-01-21,Rice,2171.78
2017-01-22,Rice,2194.46
2017-01-23,Rice,2316.37
2017-01-24,Rice,2196.32
2017-01-25,Rice,2411.37
2017-01-26,Rice,2283.16
2017-01-27,Rice,2264.79
2017-01-28,Rice,2202.33
2017-01-29,Rice,2295.99
2017-01-30,Rice,2219.57
2017-01-31,Rice,2261.57
2017-02-01,Rice,2517.8
2017-02-02,Rice,2358.56
2017-02-03,Rice,2433.42
2017-02-04,Rice,2322.41
2017-02-05,Rice,2362.64
2017-02-06,Rice,2471.12
2017-02-07,Rice,2327.4
2017-02-08,Rice,2473.9
2017-02-09,Rice,2407.75
2017-02-10,Rice,2331.68
2017-02-11,Rice,2403.51
2017-02-12,Rice,2424.05
2017-02-13,Rice,2403.14
2017-02-14,Rice,2271.76
2017-02-15,Rice,2322.48
2017-02-16,Rice,2351.39
2017-02-17,Rice,2361.92
2017-02-18,Rice,2403.76
2017-02-19,Rice,2377.32
2017-02-20,Rice,2286.67
2017-02-21,Rice,2389.74
2017-02-22,Rice,2403.7
2017-02-23,Rice,2400.79
2017-02-24,Rice,2432.19
2017-02-25,Rice,2417.51
2017-02-26,Rice,2395.17
2017-02-27,Rice,2363.54
2017-02-28,Rice,2268.23
2017-03-01,Rice,2434.0
2017-03-02,Rice,2420.82
2017-03-03,Rice,2424.79
2017-03-04,Rice,2332.03
2017-03-05,Rice,2343.9
2017-03-06,Rice,2472.09
2017-03-07,Rice,2406.67
2017-03-08,Rice,2450.07
2017-03-09,Rice,2411.01
2017-03-10,Rice,2411.24
2017-03-11,Rice,2465.89
2017-03-12,Rice,2378.76
2017-03-13,Rice,2415.63
2017-03-14,Rice,2382.26
2017-03-15,Rice,2384.07
2017-03-16,Rice,2391.72
2017-03-17,Rice,2423.74
2017-03-18,Rice,2381.82
2017-03-19,Rice,2486.03
2017-03-20,Rice,2357.15
2017-03-21,Rice,2399.75
2017-03-22,Rice,2384.71
2017-03-23,Rice,2498.05
2017-03-24,Rice,2423.16
2017-03-25,Rice,2473.42
2017-03-26,Rice,2322.51
2017-03-27,Rice,2427.8
2017-03-28,Rice,2465.3
2017-03-29,Rice,2416.99
2017-03-30,Rice,2476.12
2017-03-31,Rice,2381.29
2017-04-01,Rice,2456.83
2017-04-02,Rice,2510.34
2017-04-03,Rice,2350.78
2017-04-04,Rice,2345.95
2017-04-05,Rice,2460.02
2017-04-06,Rice,2467.73
2017-04-07,Rice,2341.72
2017-04-08,Rice,2348.02
2017-04-09,Rice,2356.46
2017-04-10,Rice,2292.84
2017-04-11,Rice,2318.52
2017-04-12,Rice,2313.53
2017-04-13,Rice,2327.85
2017-04-14,Rice,2371.97
2017-04-15,Rice,2388.24
2017-04-16,Rice,2467.36
2017-04-17,Rice,2314.56
2017-04-18,Rice,2433.66
2017-04-19,Rice,2361.9
2017-04-20,Rice,2371.91
2017-04-21,Rice,2415.5
2017-04-22,Rice,2307.79
2017-04-23,Rice,2398.23
2017-04-24,Rice,2385.41
2017-04-25,Rice,2405.11
2017-04-26,Rice,2393.05
2017-04-27,Rice,2523.15
2017-04-28,Rice,2337.71
2017-04-29,Rice,2344.25
2017-04-30,Rice,2338.86
2017-05-01,Rice,2233.25
2017-05-02,Rice,2228.47
2017-05-03,Rice,2338.19
2017-05-04,Rice,2352.22
2017-05-05,Rice,2232.88
2017-05-06,Rice,2217.32
2017-05-07,Rice,2295.68
2017-05-08,Rice,2234.4
2017-05-09,Rice,2305.65
2017-05-10,Rice,2279.98
2017-05-11,Rice,2177.0
2017-05-12,Rice,2360.93
2017-05-13,Rice,2375.97
2017-05-14,Rice,2231.59
2017-05-15,Rice,2245.23
2017-05-16,Rice,2285.78
2017-05-17,Rice,2288.83
2017-05-18,Rice,2308.42
2017-05-19,Rice,2389.65
2017-05-20,Rice,2258.56
2017-05-21,Rice,2221.42
2017-05-22,Rice,2186.69
